"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"/Users/arjansingh/Wharton/OPTIMIZATION_COMPLETED.md", "Markdown", 122, 0, 0, 29, 151
"/Users/arjansingh/Wharton/PORTFOLIO_OPTIMIZATION_PLAN.md", "Markdown", 221, 0, 0, 65, 286
"/Users/arjansingh/Wharton/app.py", "Python", 0, 275, 301, 17, 593
"Total", "-", 343, 275, 301, 111, 1030
