"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_FORMAT_FIX.md", "Markdown", 68, 0, 0, 16, 84
"/Users/arjansingh/Wharton/utils/performance_analysis_engine.py", "Python", 0, 132, 74, 8, 214
"Total", "-", 68, 132, 74, 24, 298
